Cycle,Pair,Classification,MAE
40,GBPUSD,FORECASTABLE,0.027598971756395564
40,GBPEUR,FORECASTABLE,0.061271485813394214
40,GBPCHF,FORECASTABLE,0.09114845956425172
40,USDCAD,UNDEFINED,0.14114206890515274
40,EURUSD,UNDEFINED,0.14972953068148323
40,EURCAD,UNDEFINED,0.24612382383220482
40,EURCHF,UNDEFINED,0.2520184351143727
40,USDJPY,NON FORECASTABLE,0.30142017556344153
40,USDCHF,NON FORECASTABLE,0.32154039025652403
40,GBPCAD,NON FORECASTABLE,0.4895352646328501
50,GBPUSD,FORECASTABLE,0.027445113451778337
50,GBPEUR,FORECASTABLE,0.06114175830256054
50,GBPCHF,FORECASTABLE,0.09074822927896756
50,USDCAD,UNDEFINED,0.14118767626055692
50,EURUSD,UNDEFINED,0.1499936626732511
50,EURCAD,UNDEFINED,0.2458434357540556
50,EURCHF,UNDEFINED,0.2518211856937091
50,USDJPY,NON FORECASTABLE,0.30175565244465974
50,USDCHF,NON FORECASTABLE,0.3211552075205593
50,GBPCAD,NON FORECASTABLE,0.489438512543339
